symptoms,disease
"vomiting,yellowish_skin,abdominal_pain,swelling_of_stomach,distention_of_abdomen,history_of_alcohol_consumption,fluid_overload",Alcoholic Hepatitis
"fatigue,yellowish_skin,nausea,loss_of_appetite,yellowing_of_eyes,family_history",Hepatitis C
"skin_rash,high_fever,blister,red_sore_around_nose,yellow_crust_ooze",Impetigo
"I've been having a fever, vomiting, chills, and severe itching. I also have a headache and am sweating a lot. My discomfort has also been accompanied by nausea and muscle pain.",Malaria
"fatigue,cough,high_fever,breathlessness,family_history,mucoid_sputum",Bronchial Asthma
"Angelman syndrome signs and symptoms include:  Developmental delays, including no crawling or babbling at 6 to 12 months Intellectual disability No speech or minimal speech Difficulty walking, moving or balancing well Frequent smiling and laughter Happy, excitable personality Sucking or feeding difficulty Trouble going to sleep and staying asleep  People who have Angelman syndrome may also show the following features:  Seizures, usually beginning between 2 and 3 years of age Stiff or jerky movements Small head size, with flatness in the back of the head Tongue thrusting Hair, skin and eyes that are light in color Unusual behaviors, such as hand flapping and arms uplifted while walking Sleep problems Curved spine (scoliosis) ",Angelman Syndrome
"vomiting,headache,weakness_of_one_body_side,altered_sensorium",Paralysis (Brain Hemorrhage)
"continuous_sneezing,shivering,watering_from_eyes",Allergy
"When the heart beats too fast, it may not pump enough blood to the rest of the body. As a result, the organs and tissues may not get enough oxygen. In general, tachycardia may lead to the following signs and symptoms:  Sensation of a racing, pounding heartbeat or flopping in the chest (palpitations) Chest pain Fainting (syncope) Lightheadedness Rapid pulse rate Shortness of breath  Some people with tachycardia have no symptoms. The condition may be discovered when a physical exam or heart tests are done for another reason.",Tachycardia
"burning_micturition,bladder_discomfort,foul_smell_of_urine,continuous_feel_of_urine",Urinary Tract Infection
"Possible signs and symptoms of toxic shock syndrome include:  A sudden high fever Low blood pressure Vomiting or diarrhea A rash resembling a sunburn, particularly on your palms and soles Confusion Muscle aches Redness of your eyes, mouth and throat Seizures Headaches ",Toxic Shock Syndrome
"Hairy cell leukemia might not cause symptoms. Sometimes a health care provider finds it by accident during a blood test for another condition. When it causes symptoms, hairy cell leukemia might cause:  A feeling of fullness in your belly that may make it uncomfortable to eat more than a little at a time Fatigue Easy bruising Recurring infections Weakness Losing weight without trying ",Hairy Cell Leukemia
"vomiting,headache,spinning_movements,loss_of_balance,unsteadiness",(Vertigo) Paroymsal  Positional Vertigo
"continuous_sneezing,chills,fatigue,cough,high_fever,swelled_lymph_nodes,malaise,phlegm,throat_irritation,redness_of_eyes,sinus_pressure,runny_nose,congestion,chest_pain,loss_of_smell,muscle_pain",Common Cold
"itching,skin_rash,fatigue,lethargy,high_fever,headache,loss_of_appetite,mild_fever,swelled_lymph_nodes,malaise,red_spots_over_body",Chicken Pox
"chills,fatigue,cough,high_fever,headache,swelled_lymph_nodes,malaise,phlegm,throat_irritation,redness_of_eyes,sinus_pressure,runny_nose,congestion,chest_pain,loss_of_smell,muscle_pain",Common Cold
"back_pain,weakness_in_limbs,neck_pain,dizziness,loss_of_balance",Cervical Spondylosis
"vomiting,headache,nausea,spinning_movements,unsteadiness",(Vertigo) Paroymsal  Positional Vertigo
"fatigue,weight_gain,cold_hands_and_feets,mood_swings,lethargy,dizziness,puffy_face_and_eyes,enlarged_thyroid,brittle_nails,swollen_extremeties,depression,irritability,abnormal_menstruation",Hypothyroidism
"Symptoms of serious heart problems present at birth (congenital heart defects) often appear during the first few days, weeks or months of a child's life. Symptoms of a ventricular septal defect (VSD) depend on the size of the hole and if there are any other heart problems. A small VSD may never cause symptoms. VSD In general, VSD symptoms in a baby may include: VSD  Poor eating Slow or no physical growth (failure to thrive) Fast breathing or breathlessness Easy tiring Whooshing sound when listening to the heart with a stethoscope (heart murmur)  Symptoms of a ventricular septal defect in adults may include:  Shortness of breath, especially when exercising Whooshing sound when listening to the heart with a stethoscope (heart murmur) ",Ventricular Septal Defect
"I'm having trouble breathing and I feel like I'm getting out of breath easily. My face and chest are swollen, my eyes hurt, and I have a dry, hacking cough.",Allergy
"acidity,indigestion,blurred_and_distorted_vision,excessive_hunger,stiff_neck,depression,irritability,visual_disturbances",Migraine
"constipation,pain_during_bowel_movements,pain_in_anal_region,bloody_stool,irritation_in_anus",Dimorphic Hemmorhoids(Piles)
"vomiting,fatigue,anxiety,sweating,headache,nausea,blurred_and_distorted_vision,excessive_hunger,drying_and_tingling_lips,slurred_speech,irritability,palpitations",Hypoglycemia
"chills,fatigue,cough,high_fever,breathlessness,sweating,malaise,phlegm,chest_pain,fast_heart_rate,rusty_sputum",Pneumonia
I'm having trouble breathing and I'm sweating a lot. I have a lot of mucous in my throat and I feel sick. My chest hurts and my heart is racing. I'm coughing up red mucus.,Pneumonia
"           The liver            The liver   The liver The liver is your largest internal organ. About the size of a football, it's located mainly in the upper right portion of your abdomen, beneath the diaphragm and above your stomach.               The liver                The liver         The liver   The liver The liver is your largest internal organ. About the size of a football, it's located mainly in the upper right portion of your abdomen, beneath the diaphragm and above your stomach.       The liver   The liver The liver is your largest internal organ. About the size of a football, it's located mainly in the upper right portion of your abdomen, beneath the diaphragm and above your stomach.     The liver   The liver The liver is your largest internal organ. About the size of a football, it's located mainly in the upper right portion of your abdomen, beneath the diaphragm and above your stomach.  Close  Close The liver   The liver The liver is your largest internal organ. About the size of a football, it's located mainly in the upper right portion of your abdomen, beneath the diaphragm and above your stomach.  The liver The liver is your largest internal organ. About the size of a football, it's located mainly in the upper right portion of your abdomen, beneath the diaphragm and above your stomach. The liver is your largest internal organ. About the size of a football, it's located mainly in the upper right portion of your abdomen, beneath the diaphragm and above your stomach. Most people don't have signs and symptoms in the early stages of primary liver cancer. When signs and symptoms do appear, they may include:  Losing weight without trying Loss of appetite Upper abdominal pain Nausea and vomiting General weakness and fatigue Abdominal swelling Yellow discoloration of your skin and the whites of your eyes (jaundice) White, chalky stools ",Liver Cancer
"joint_pain,vomiting,fatigue,high_fever,yellowish_skin,dark_urine,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes,acute_liver_failure,coma,stomach_bleeding",Hepatitis E
"Signs and symptoms of trichotillomania often include:  Repeatedly pulling your hair out, typically from your scalp, eyebrows or eyelashes, but sometimes from other body areas, and sites may vary over time An increasing sense of tension before pulling, or when you try to resist pulling A sense of pleasure or relief after the hair is pulled Noticeable hair loss, such as shortened hair or thinned or bald areas on the scalp or other areas of your body, including sparse or missing eyelashes or eyebrows Preference for specific types of hair, rituals that accompany hair pulling or patterns of hair pulling Biting, chewing or eating pulled-out hair Playing with pulled-out hair or rubbing it across your lips or face Repeatedly trying to stop pulling out your hair or trying to do it less often without success Significant distress or problems at work, school or in social situations related to pulling out your hair  Many people who have trichotillomania also pick their skin, bite their nails or chew their lips. Sometimes pulling hairs from pets or dolls or from materials, such as clothes or blankets, may be a sign. Most people with trichotillomania pull hair in private and generally try to hide the disorder from others. For people with trichotillomania, hair pulling can be:  Focused. Some people pull their hair intentionally to relieve tension or distress — for example, pulling hair out to get relief from the overwhelming urge to pull hair. Some people may develop elaborate rituals for pulling hair, such as finding just the right hair or biting pulled hairs. Automatic. Some people pull their hair without even realizing they're doing it, such as when they're bored, reading or watching TV.  The same person may do both focused and automatic hair pulling, depending on the situation and mood. Certain positions or rituals may trigger hair pulling, such as resting your head on your hand or brushing your hair. Trichotillomania can be related to emotions:  Negative emotions. For many people with trichotillomania, hair pulling is a way of dealing with negative or uncomfortable feelings, such as stress, anxiety, tension, boredom, loneliness, fatigue or frustration. Positive feelings. People with trichotillomania often find that pulling out hair feels satisfying and provides a measure of relief. As a result, they continue to pull their hair to maintain these positive feelings.  Trichotillomania is a long-term (chronic) disorder. Without treatment, symptoms can vary in severity over time. For example, the hormonal changes of menstruation can worsen symptoms in women. For some people, if not treated, symptoms can come and go for weeks, months or years at a time. Rarely, hair pulling ends within a few years of starting. When to see a doctor If you can't stop pulling out your hair or you feel embarrassed or ashamed by your appearance as a result of your hair pulling, talk to your doctor. Trichotillomania is not just a bad habit, it's a mental health disorder, and it's unlikely to get better without treatment.",Trichotillomania
